,Year,MM/DD,Day,GWZ1,GWZ2,GWZ3,GWZ4,GWZ5,GWZ6,Zz,Sz,Spieleinsatz,I,6T_Zz,II,6T,III,5T_Zz,IV,5T,V,4T_Zz,VI,4T,VII,3T_Zz,VIII,3T,IX,2T_Zz,Total_payout,Date,gwzx_sum
36,1990,15/09/,SA,24,2,32,21,26,42,43,0,51144056.0,0,0.0,7,547972.0,7,547972.0,1964,2929.5386,0,0.0,114319,50.31094,0,0.0,2018494,4.09032,0,0.0,27433004.68624592,1990-09-15,147
37,1990,22/09/,SA,38,3,17,2,21,46,22,0,50726276.0,0,0.0,9,422718.94,9,422718.94,2198,2596.2795,0,0.0,110316,51.69142,0,0.0,1950569,4.192578,0,0.0,27195866.523956776,1990-09-22,127
38,1990,29/09/,SA,22,47,31,37,16,46,34,0,50981544.0,0,0.0,10,382361.6,10,382361.6,1460,3928.3435,0,0.0,75884,75.568665,0,0.0,1539436,5.368545,0,0.0,27381597.460214615,1990-09-29,199
39,1990,06/10/,SA,1,27,31,7,41,32,35,0,51735800.0,0,0.0,4,970046.25,4,970046.25,1522,3824.0913,0,0.0,100075,58.133675,0,0.0,1970402,4.243707,0,0.0,27760173.57436657,1990-10-06,139
40,1990,13/10/,SA,13,9,46,40,22,11,39,0,52765350.0,0,0.0,5,791480.2,5,791480.2,1304,4552.2197,0,0.0,87737,67.64367,0,0.0,1773042,4.806126,0,0.0,28307212.46074772,1990-10-13,141
41,1990,20/10/,SA,43,46,15,24,34,25,18,0,51030816.0,0,0.0,1,3827311.5,1,3827311.5,1053,5451.988,0,0.0,70312,81.60189,0,0.0,1461619,5.6241903,0,0.0,27353581.72201252,1990-10-20,187
42,1990,27/10/,SA,25,5,11,26,19,23,27,0,52004280.0,0,0.0,4,975080.25,4,975080.25,3204,1825.9701,0,0.0,161171,36.25046,0,0.0,2523913,3.323385,0,0.0,27881507.926376104,1990-10-27,109
43,1990,03/11/,SA,33,27,42,49,3,25,21,0,51870830.0,0,0.0,4,972578.06,4,972578.06,1806,3231.1484,0,0.0,107590,54.196743,0,0.0,2014657,4.1414495,0,0.0,27790706.28623247,1990-11-03,179
44,1990,10/11/,SA,12,42,3,37,18,24,38,0,53194544.0,0,0.0,30,132986.33,30,132986.33,4153,1440.9686,0,0.0,161978,36.91514,0,0.0,2325689,3.681288,0,0.0,28504493.678432703,1990-11-10,136
45,1990,17/11/,SA,49,34,25,17,14,15,41,0,52832764.0,0,0.0,2,1981228.6,2,1981228.6,957,6210.742,0,0.0,69386,85.641075,0,0.0,1567855,5.4708033,0,0.0,28388312.659171104,1990-11-17,154
46,1990,24/11/,SA,15,30,24,43,46,32,5,0,51800276.0,0,0.0,4,971255.1,4,971255.1,1234,4722.4277,0,0.0,84317,69.07529,0,0.0,1502858,5.573061,0,0.0,27797257.07921219,1990-11-24,190
47,1990,01/12/,SA,33,36,2,47,6,18,43,0,59267444.0,0,0.0,17,261474.02,17,261474.02,2378,2803.8633,0,0.0,113129,58.900608,0,0.0,2018177,4.7549973,0,0.0,31817496.395503998,1990-12-01,142
48,1990,08/12/,SA,34,13,49,42,18,6,15,0,54246924.0,0,0.0,13,312963.0,13,312963.0,1907,3200.1643,0,0.0,93794,65.03609,0,0.0,1718134,5.1129003,0,0.0,29124393.85058117,1990-12-08,162
49,1990,15/12/,SA,40,43,26,7,8,37,9,0,54415410.0,0,0.0,5,816231.2,5,816231.2,1320,4637.6562,0,0.0,83264,73.472374,0,0.0,1723199,5.1129003,0,0.0,29212166.48075819,1990-12-15,161
50,1990,22/12/,SA,40,37,19,3,25,24,5,0,57725252.0,0,0.0,17,254670.19,17,254670.19,3609,1799.3829,0,0.0,168083,38.602398,0,0.0,2688008,3.4767723,0,0.0,30986758.014255524,1990-12-22,148
51,1990,29/12/,SA,13,18,32,5,29,35,37,0,54262444.0,0,0.0,9,452187.03,9,452187.03,2019,3023.5134,0,0.0,104751,58.235935,0,0.0,1839070,4.7549973,0,0.0,29088885.421245575,1990-12-29,132
